stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
Route4-400_Guelph Central Station,400,Guelph Central Station,,43.54582712,-80.24580414,,,,
Route4-401_Neeve St. at Ontario St.,401,Neeve St. at Ontario St.,,43.54413676,-80.24097264,,,,
Route4-402_Ontario St at Manitoba St.,402,Ontario St at Manitoba St.,,43.54470417,-80.23730491,,,,
Route4-403_168 Ontario St.,403,168 Ontario St.,,43.54520196,-80.23469665,,,,
Route4-404_Ontario St. at York Rd.,404,Ontario St. at York Rd.,,43.54552549,-80.23274047,,,,
Route4-405_York Rd. at Morris St.,405,York Rd. at Morris St.,,43.54671213,-80.23080247,,,,
Route4-406_York Rd. at Brockville Ave.,406,York Rd. at Brockville Ave.,,43.54913612,-80.22756837,,,,
Route4-407_York Rd. at Audrey Ave.,407,York Rd. at Audrey Ave.,,43.55078627,-80.22533313,,,,
Route4-408_535 York Rd. at Tim Hortons,408,535 York Rd. at Tim Hortons,,43.55223214,-80.22329365,,,,
Route4-409_York Rd. at Beaumont Cres.,409,York Rd. at Beaumont Cres.,,43.55458284,-80.22014686,,,,
Route4-410_728 York Rd.,410,728 York Rd.,,43.55693523,-80.21688324,,,,
Route4-411_895 York Rd.,411,895 York Rd.,,43.55872643,-80.21438384,,,,
Route4-412_York Rd. at Watson Pkwy. N.,412,York Rd. at Watson Pkwy. N.,,43.56153565,-80.21054688,,,,
Route4-413_York Rd. at Graniteworx,413,York Rd. at Graniteworx,,43.56350386,-80.20788965,,,,
Route4-414_Watson Rd. S. at York Rd.,414,Watson Rd. S. at York Rd.,,43.56449176,-80.20546404,,,,
Route4-415_Watson Rd. S. at Airpark Pl.,415,Watson Rd. S. at Airpark Pl.,,43.56243048,-80.20258634,,,,
Route4-416_Watson Rd. S. at Guelph Transit Centre,416,Watson Rd. S. at Guelph Transit Centre,,43.5605435,-80.19994552,,,,
Route4-417_Watson Pkwy. S. at Dunlop Dr.,417,Watson Pkwy. S. at Dunlop Dr.,,43.55799165,-80.19896715,,,,
Route4-418_Watson Pkwy. S. at Cargill,418,Watson Pkwy. S. at Cargill,,43.55905022,-80.20286232,,,,
Route4-419_Watson Pkwy. S. at Taggert St.,419,Watson Pkwy. S. at Taggert St.,,43.56028046,-80.20619722,,,,
Route4-420_York Rd. at Watson Pkwy. N.,420,York Rd. at Watson Pkwy. N.,,43.56151064,-80.21082655,,,,
Route4-421_York Rd. at Yorkhaven Pl..,421,York Rd. at Yorkhaven Pl..,,43.55847725,-80.21503684,,,,
Route4-422_York Rd. at Royal City Jaycees Park,422,York Rd. at Royal City Jaycees Park,,43.55703595,-80.21700185,,,,
Route4-423_York Rd. at Beaumont Cres.,423,York Rd. at Beaumont Cres.,,43.55493605,-80.21990711,,,,
Route4-424_York Rd. at Victoria Rd.,424,York Rd. at Victoria Rd.,,43.55154516,-80.22455892,,,,
Route4-425_York Rd. at Brockville Ave.,425,York Rd. at Brockville Ave.,,43.54905218,-80.22787225,,,,
Route4-426_York Rd. at Harris St.,426,York Rd. at Harris St.,,43.54753114,-80.22995403,,,,
Route4-427_Ontario St. at Huron St.,427,Ontario St. at Huron St.,,43.5456181,-80.23307566,,,,
Route4-428_70 Ontario St.,428,70 Ontario St.,,43.54485745,-80.23718307,,,,
Route4-429_Ontario St. at Neeve St.,429,Ontario St. at Neeve St.,,43.54426392,-80.2402114,,,,
Route4-430_Guelph Central Station,430,Guelph Central Station,,43.56127596,-80.20764978,,,,
Route10-1000_Guelph Central Station,1000,Guelph Central Station,,43.545395,-80.246324,,,,
Route10-1001_Quebec St. at B.M.O.,1001,Quebec St. at B.M.O.,,43.545816,-80.249985,,,,
Route10-1002_Paisley St. at Library,1002,Paisley St. at Library,,43.545416,-80.252869,,,,
Route10-1003_Paisley St. at Glasgow St.,1003,Paisley St. at Glasgow St.,,43.543483,-80.256727,,,,
Route10-1004_Paisley St. at G.C.V.I.,1004,Paisley St. at G.C.V.I.,,43.542421,-80.258820,,,,
Route10-1005_Paisley St. at Harrison Ave.,1005,Paisley St. at Harrison Ave.,,43.541522,-80.260557,,,,
Route10-1006_Paisley St. at Edinburgh Rd. N.,1006,Paisley St. at Edinburgh Rd. N.,,43.540699,-80.263171,,,,
Route10-1007_Paisley Rd. at Alma St.,1007,Paisley Rd. at Alma St.,,43.538862,-80.265657,,,,
Route10-1008_Paisley Rd. at Western Ave.,1008,Paisley Rd. at Western Ave.,,43.536467,-80.268935,,,,
Route10-1009_Paisley Rd. at Heath Rd.,1009,Paisley Rd. at Heath Rd.,,43.534616,-80.271486,,,,
Route10-1010_Westwood Rd. at Silvercreek Pkwy. N.,1010,Westwood Rd. at Silvercreek Pkwy. N.,,43.535150,-80.275370,,,,
Route10-1011_85 Westwood Rd.,1011,85 Westwood Rd.,,43.532712,-80.278921,,,,
Route10-1012_225 Westwood Rd.,1012,225 Westwood Rd.,,43.532762,-80.285243,,,,
Route10-1013_Willow Rd. at Westwood Rd.,1013,Willow Rd. at Westwood Rd.,,43.533285,-80.288209,,,,
Route10-1014_577 Willow Rd. at Church,1014,577 Willow Rd. at Church,,43.531384,-80.290685,,,,
Route10-1015_Imperial Rd. S. at Ferman Dr.,1015,Imperial Rd. S. at Ferman Dr.,,43.527646,-80.290672,,,,
Route10-1016_West End Community Centre,1016,West End Community Centre,,43.522344,-80.291079,,,,
Route10-1017_926 Paisley Rd.,1017,926 Paisley Rd.,,43.526110,-80.285423,,,,
Route10-1018_Paisley Rd. at Candlewood Dr.,1018,Paisley Rd. at Candlewood Dr.,,43.529005,-80.279237,,,,
Route10-1019_Paisley Rd. at West Hill Estates,1019,Paisley Rd. at West Hill Estates,,43.530899,-80.276021,,,,
